match_id,innings,over,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,total_runs,wickets_fallen,is_wicket,venue,date,target
1,1,1,1,Rajasthan Royals,Kolkata Knight Riders,Shubman Gill,KL Rahul,Trent Boult,0,0,0,0,0,M. Chinnaswamy Stadium,2023-04-11,
1,1,1,2,Rajasthan Royals,Kolkata Knight Riders,Hardik Pandya,Rishabh Pant,Mohammed Shami,4,0,4,0,0,M. Chinnaswamy Stadium,2023-05-12,
1,1,1,3,Rajasthan Royals,Kolkata Knight Riders,Virat Kohli,Devon Conway,Arshdeep Singh,0,2,6,1,1,M. Chinnaswamy Stadium,2023-05-12,
1,1,1,4,Rajasthan Royals,Kolkata Knight Riders,Devon Conway,Devon Conway,Rashid Khan,0,0,6,1,0,M. Chinnaswamy Stadium,2023-05-23,
1,1,1,5,Rajasthan Royals,Kolkata Knight Riders,Suryakumar Yadav,Rishabh Pant,Pat Cummins,6,0,12,1,0,M. Chinnaswamy Stadium,2023-04-18,
1,1,1,6,Rajasthan Royals,Kolkata Knight Riders,Jos Buttler,Shubman Gill,Ravindra Jadeja,5,0,17,1,0,M. Chinnaswamy Stadium,2023-05-20,
1,1,2,1,Rajasthan Royals,Kolkata Knight Riders,Faf du Plessis,KL Rahul,Jasprit Bumrah,0,0,17,1,0,M. Chinnaswamy Stadium,2023-05-18,
1,1,2,2,Rajasthan Royals,Kolkata Knight Riders,Shubman Gill,Shikhar Dhawan,Kuldeep Yadav,2,0,19,1,0,M. Chinnaswamy Stadium,2023-04-18,
1,1,2,3,Rajasthan Royals,Kolkata Knight Riders,Faf du Plessis,Suryakumar Yadav,Shardul Thakur,3,0,22,1,0,M. Chinnaswamy Stadium,2023-04-08,
1,1,2,4,Rajasthan Royals,Kolkata Knight Riders,Faf du Plessis,Shubman Gill,Pat Cummins,4,0,26,1,0,M. Chinnaswamy Stadium,2023-05-13,
